country_code,CPV,total_value_sme,n_contracts_sme,n_contractors_sme,total_value_large,n_contracts_large,n_contractors_large
BE,79620000,1329600.0,4,9,63380100.96000001,24,32
BE,79624000,6.1,3,3,628000000.0,14,14
BE,79710000,690971.4,2,2,47618686.4,3,3
BE,79713000,1441451.3,1,1,29262418.41,11,11
BE,79714000,227934.58,2,2,79644.39,3,3
BE,79800000,9240841.79,8,8,1500000.0,1,1
BE,79822500,24477.42,1,1,569635.0,1,1
BE,79823000,902590.0,2,2,3156335.0300000003,3,3
BE,79950000,9005873.239999998,7,13,2430579.0,1,3
BE,79990000,6435000.0,9,9,143250.0,1,1
BE,79998000,152161.16,1,2,152161.16,1,2
BE,80000000,4260860.0,6,13,36303299.0,7,15
BE,80500000,2754220.0,13,16,17266946.0,10,15
BE,80530000,748004.0,6,11,457114969.0,90,96
BE,80531200,1799398.0,1,10,1799398.0,1,10
BE,85000000,5488000.0,7,7,5067277.26,5,6
BE,85100000,708580.0,1,1,581172.07,3,3
BE,85120000,2607000.0,1,1,377152.1,3,3
BE,85312300,281876.0,2,15,324142.5,3,21
BE,85312320,827200.0,1,1,412800.0,1,1
BE,90000000,9461029.940000001,42,43,7928450.98,14,15
BE,90500000,1236826.56,1,1,32060872.47,33,36
BE,90510000,11626392.6,14,19,38178729.96,16,19
BE,90511000,6875952.0,1,1,1260404.42,14,14
BE,90511200,807592.92,3,3,37787157.269999996,8,8
BE,90512000,40924456.0,13,21,5122534.0,7,7
BE,90513000,3396470.0,26,26,45794998.42,23,23
BE,90513600,560923.89,3,3,1340000.0,2,2
BE,90513700,3462000.0,3,3,31454767.900000002,17,33
BE,90524200,2093937.77,2,2,1863523.59,1,1
BE,90640000,0.0,0,40,7590143.859999999,15,16
BE,90713000,2511915.0,4,9,1915565.0,2,5
BE,90900000,6885262.359999999,7,7,78986301.5,19,19
BE,90910000,2326044.4,3,4,32819165.78,15,15
BE,90911000,1002466.98,6,6,153840135.19,24,24
BE,90911200,153344.2,1,1,18961672.66,6,6
BE,90911300,261709.6,1,1,1037092.34,2,2
